ID	IllustrationType	Language	Cluster	Hand	Quire	Parchment	Illustration + Language
20	H	A	HA1	1	E	20	HA
42	P	A	PHA	4	O	42	PA
41	H	A	PHA	4	O	41	HA
9	H	A	HA1	1	C	9	HA
26	H	B	HB1	2	G	26	HB
48	S	B	SB2	X	T	48	SB
25	H	A	HA1	1	G	25	HA
47	S	B	SB1	X	T	47	SB
28	H	A	PHA	1	G	28	HA
27	H	A	PHA	1	G	27	HA
49	S	B	SB2	Y	T	49	SB
22	H	A	HA1	1	F	22	HA
44	H	B	HB1	5	Q	44	HB
21	H	B	HB1	2	F	21	HB
43	H	A	PHA	4	Q	43	HA
24	H	A	HA1	1	F	24	HA
46	P	A	PHA	?	S	46	PA
23	H	B	HB1	2	F	23	HB
45	P	A	PHA	?	S	45	PA
19	H	A	HA1	1	E	19	HA
18	H	B	HB1	2	E	18	HB
51	S	B	SB1	?	T	51	SB
50	S	B	SB2	X	T	50	SB
30	H	A	T	?	H	30	HA
52	S	B	SB1	?	T	52	SB
15	H	A	HA1	1	D	15	HA
37	B	B	BB1	2	M	37	BB
14	H	B	HB1	2	D	14	HB
36	B	B	BB1	2	M	36	BB
17	H	B	HB1	2	E	17	HB
39	B	B	BB1	2	M	39	BB
16	H	A	HA1	1	D	16	HA
38	B	B	BB1	2	M	38	BB
11	H	A	HA1	1	C	11	HA
33	Z	?	Z	?	K	33	Z?
10	H	A	HA1	1	C	10	HA
13	H	A	HA1	1	D	13	HA
35	B	B	BB1	2	M	35	BB
12	H	A	HA1	1	C	12	HA
34	Z	?	Z	?	L	34	Z?
5	H	A	HA1	1	B	5	HA
6	H	A	HA1	1	B	6	HA
7	H	A	HA1	1	B	7	HA
8	H	A	HA1	1	B	8	HA
1	H	A	HA1	1	A	1	HA
2	H	A	HA1	1	A	2	HA
3	H	A	HA1	1	A	3	HA
4	H	A	HA1	1	A	4	HA
